File name	Species name	Lower	Upper
1_Anthropornis_grandis	Anthropornis grandis	34	52.5
1_Anthropornis_nordenskjoeldi	Anthropornis nordenskjoeldi	34	52.5
1_Archaeospheniscus_lopdelli	Archaeospheniscus lopdelli	26	30
1_Archaeospheniscus_lowei	Archaeospheniscus lowei	26	30
1_Burnside_Palaeudyptes	Burnside Palaeudyptes	36	38.4
1_Delphinornis_arctowskii	Delphinornis arctowskii	34	41
1_Delphinornis_gracilis	Delphinornis gracilis	34	41
1_Delphinornis_larseni	Delphinornis larseni	34	52.5
1_Delphinornis_wimani	Delphinornis wimani	34	52.5
1_Duntroonornis_parvus	Duntroonornis parvus	21.7	30
1_Eretiscus_tonnii	Eretiscus tonnii	16	21
1_Icadyptes_salasi	Icadyptes salasi	35.7	37.2
1_Inkayacu_paracasensis	Inkayacu paracasensis	35.7	37.2
1_Kairuku_grebneffi	Kairuku grebneffi	26	30
1_Kairuku_waitaki	Kairuku waitaki	26	30
1_Madrynornis_mirandus	Madrynornis mirandus	9.7	10.3
1_Marambiornis_exilis	Marambiornis exilis	34	41
1_Marplesornis_novaezealandiae	Marplesornis novaezealandiae	5.33	15.97
1_Mesetaornis_polaris	Mesetaornis polaris	34	41
1_Pachydyptes_ponderosus	Pachydyptes ponderosus	34.5	36
1_Palaeeudyptes_antarcticus	Palaeeudyptes antarcticus	30.1	34.5
1_Palaeeudyptes_gunnari	Palaeeudyptes gunnari	34	54
1_Palaeeudyptes_klekowskii	Palaeeudyptes klekowskii	34	52.5
1_Palaeospheniscus_bergi	Palaeospheniscus bergi	9.7	21
1_Palaeospheniscus_biloculata	Palaeospheniscus biloculata	16	21
1_Palaeospheniscus_patagonicus	Palaeospheniscus patagonicus	16	21
1_Paraptenodytes_antarcticus	Paraptenodytes antarcticus	21	23
1_Perudyptes_devriesi	Perudyptes devriesi	38	42
1_Platydyptes_marplesi	Platydyptes marplesi	23	30
1_Platydyptes_novaezealandiae	Platydyptes novaezealandiae	23	26
1_Pygoscelis_grandis	Pygoscelis grandis	2.5	8.6
1_Spheniscus_megaramphus	Spheniscus megaramphus	6.3	10
1_Spheniscus_muizoni	Spheniscus muizoni	9	9.2
1_Spheniscus_urbinai	Spheniscus urbinai	5.7	9.63
1_Waimanu_manneringi	Waimanu manneringi	60.5	61.6
1_Waimanu_tuatahi	Waimanu tuatahi	56	60.5
