"V1" "V4" "V5" "fossilH1" "fossilH1previous"
"1" "1_Anthropornis_grandis" 34 52.5 0.145526911009172 0.115625
"2" "1_Anthropornis_nordenskjoeldi" 34 52.5 0.145526911009172 0.115625
"3" "1_Archaeospheniscus_lopdelli" 26 30 0.0480546226864402 0.025
"4" "1_Archaeospheniscus_lowei" 26 30 0.0480546226864402 0.025
"5" "1_Burnside_Palaeudyptes" 36 38.4 0.0220888939233578 0.015
"6" "1_Delphinornis_arctowskii" 34 41 0.0639854829935599 0.04375
"7" "1_Delphinornis_gracilis" 34 41 0.0639854829935599 0.04375
"8" "1_Delphinornis_larseni" 34 52.5 0.145526911009172 0.115625
"9" "1_Delphinornis_wimani" 34 52.5 0.145526911009172 0.115625
"10" "1_Duntroonornis_parvus" 21.7 30 0.106541819914363 0.051875
"11" "1_Eretiscus_tonnii" 16 21 0.0801551974763058 0.03125
"12" "1_Icadyptes_salasi" 35.7 37.2 0.0141006272621015 0.009375
"13" "1_Inkayacu_paracasensis" 35.7 37.2 0.0141006272621015 0.009375
"14" "1_Kairuku_grebneffi" 26 30 0.0480546226864402 0.025
"15" "1_Kairuku_waitaki" 26 30 0.0480546226864402 0.025
"16" "1_Madrynornis_mirandus" 9.7 10.3 0.0125999228377839 0.00375
"17" "1_Marambiornis_exilis" 34 41 0.0639854829935599 0.04375
"18" "1_Marplesornis_novaezealandiae" 5.33 15.97 0.246432724713829 0.0665
"19" "1_Mesetaornis_polaris" 34 41 0.0639854829935599 0.04375
"20" "1_Pachydyptes_ponderosus" 34.5 36 0.014590606998066 0.009375
"21" "1_Palaeeudyptes_antarcticus" 30.1 34.5 0.0466171203478158 0.0275
"22" "1_Palaeeudyptes_gunnari" 34 54 0.154412618599322 0.125
"23" "1_Palaeeudyptes_klekowskii" 34 52.5 0.145526911009172 0.115625
"24" "1_Palaeospheniscus_bergi" 9.7 21 0.201011969588733 0.070625
"25" "1_Palaeospheniscus_biloculata" 16 21 0.0801551974763058 0.03125
"26" "1_Palaeospheniscus_patagonicus" 16 21 0.0801551974763058 0.03125
"27" "1_Paraptenodytes_antarcticus" 21 23 0.0287561372861669 0.0125
"28" "1_Perudyptes_devriesi" 38 42 0.0340355037674161 0.025
"29" "1_Platydyptes_marplesi" 23 30 0.0880506134150351 0.04375
"30" "1_Platydyptes_novaezealandiae" 23 26 0.0399959907285949 0.01875
"31" "1_Pygoscelis_grandis" 2.5 8.6 0.148874567642826 0.038125
"32" "1_Spheniscus_megaramphus" 6.3 10 0.0826430900539372 0.023125
"33" "1_Spheniscus_muizoni" 9 9.2 0.0043257722825694 0.00125
"34" "1_Spheniscus_urbinai" 5.7 9.63 0.0949507478925185 0.0245625
"35" "1_Waimanu_manneringi" 60.5 61.6 0.00530873083596831 0.006875
"36" "1_Waimanu_tuatahi" 56 60.5 0.0233734013197171 0.028125
