Species,FAD,LAD
Aelurodon_asthenostylus,15.9,12
Aelurodon_ferox,14.8,9
Aelurodon_mcgrewi,14.8,12
Aelurodon_stirtoni,14.8,12
Aelurodon_taxoides,14.8,9
Archaeocyon_falkenbachi,24,17.5
Archaeocyon_leptodus,30,17.5
Archaeocyon_pavidus,30,19
Borophagus_diversidens,4.9,1.9
Borophagus_dudleyi,7,4.9
Borophagus_hilli,7,4.1
Borophagus_littoralis,12,7
Borophagus_orc,9,7
Borophagus_parvus,7,4.9
Borophagus_pugnator,9,4.9
Borophagus_secundus,9,4.9
Caedocyon_tedfordi,30,28
Canis_armbrusteri,1.9,0.15
Canis_cedazoensis,0.24,0.011
Canis_dirus,0.85,0.011
Canis_edwardii,4.9,0.15
Canis_falconeri,1.9,0.85
Canis_feneus,0.85,0.15
Canis_ferox,7,1.9
Canis_lepophagus,4.9,1.9
Canis_thooides,4.1,1.9
Carpocyon_compressus,14.8,12
Carpocyon_limosus,9,4.9
Carpocyon_robustus,12,9
Carpocyon_webbi,14.8,9
Cerdocyon_texanus,7,4.9
Chrysocyon_nearcticus,4.9,3
Cormocyon_copei,28,17.5
Cormocyon_haydeni,28,17.5
Cynarctoides_accridens,19,12
Cynarctoides_emryi,19,15.9
Cynarctoides_gawanae,17.5,15.9
Cynarctoides_harlowi,19,17.5
Cynarctoides_lemur,30,19
Cynarctoides_luskensis,19,17.5
Cynarctoides_roii,28,24
Cynarctus_crucidens,9,4.9
Cynarctus_galushai,14.8,10
Cynarctus_marylandica,14.8,12
Cynarctus_saxatilis,12,10
Cynarctus_voorhiesi,12,10
Cynodesmus_martini,30,28
Cynodesmus_thooides,32,28
Desmocyon_matthewi,17.5,15.9
Desmocyon_thomsoni,19,15.9
Ectopocynus_antiquus,32,28
Ectopocynus_intermedius,30,28
Ectopocynus_simplicidens,19,15.9
Enhydrocyon_basilatus,28,19
Enhydrocyon_crassidens,30,19
Enhydrocyon_pahinsintewakpa,30,28
Enhydrocyon_stenocephalus,30,28
Epicyon_aelurodontoides,9,7
Epicyon_haydeni,12,4.9
Epicyon_saevus,14.8,7
Eucyon_davisi,9,4.9
Eucyon_skinneri,10,9
Euoplocyon_brachygnathus,14.8,12
Euoplocyon_spissidens,17.5,15.9
Hesperocyon_coloradensis,33.7,32
Hesperocyon_gregarius,37,30
Leptocyon_douglassi,30,28
Leptocyon_gregorii,28,24
Leptocyon_leidyi,19,12
Leptocyon_matthewi,12,9
Leptocyon_mollis,30,28
Leptocyon_tejonensis,12,10
Leptocyon_vafer,14.8,9
Leptocyon_vulpinus,28,17.5
Mesocyon_brachyops,30,19
Mesocyon_coryphaeus,30,19
Mesocyon_temnodon,33.7,28
Metalopex_bakeri,9,4.9
Metalopex_macconnelli,10,7
Metalopex_merriami,10,7
Metatomarctus_canavus,17.5,14.8
Microtomarctus_conferta,15.9,10
Osbornodon_brachypus,24,19
Osbornodon_fricki,17.5,14.8
Osbornodon_iamonensis,24,17.5
Osbornodon_renjiei,33.7,30
Osbornodon_sesnoni,32,30
Otarocyon_cooki,28,19
Otarocyon_macdonaldi,32,30
Oxetocyon_cuspidatus,30,24
Paracynarctus_kelloggi,17.5,10
Paracynarctus_sinclari,14.8,12
Paraenhydrocyon_josephi,32,19
Paraenhydrocyon_robustus,24,19
Paraenhydrocyon_wallovianus,24,19
Paratomarctus_euthos,14.8,9
Paratomarctus_temerarius,12,9
Philotrox_condoni,30,28
Phlaocyon_achoros,24,19
Phlaocyon_annectens,24,17.5
Phlaocyon_latidens,28,24
Phlaocyon_leucosteus,19,14.8
Phlaocyon_mariae,17.5,15.9
Phlaocyon_marshlandensis,17.5,15.9
Phlaocyon_minor,28,17.5
Phlaocyon_multicuspus,19,17.5
Phlaocyon_yatkolai,17.5,15.9
Prohesperocyon_wilsoni,37,33.7
Protepicyon_raki,15.9,12
Protocyon_scagliorum,0.78,0.5
Protocyon_troglodytes,0.78,0.01
Protomarctus_opatus,17.5,14.8
Psalidocyon_marianae,14.8,12
Rhizocyon_oreganensis,28,24
Sunkahetanka_geringensis,30,28
Tephrocyon_rurestris,14.8,12
Theriodictis_floridianus,2.5,1.72
Theriodictis_platensis,1,0.5
Theriodictis_tarijensis,0.78,0.02
Tomarctus_brevirostris,14.8,10
Tomarctus_hippophaga,14.8,12
Urocyon progressus,4.9,4.1
Urocyon_citronus,1.9,0.85
Urocyon_galushi,4.9,0.85
Urocyon_minicephalus,0.85,0.15
Urocyon_webbi,9,4.9
Vulpes_kernensis,9,4.9
Vulpes_stenognathus,10,4.9
Xenocyon_lycaonoides,0.85,0.15
Xenocyon_texanus,0.85,0.15
