File name	Species name	Lower	Upper
1_canids_Prohesperocyon_wilsoni	Prohesperocyon_wilsoni	33.9	33.9
1_canids_Hesperocyon_gregarius	Hesperocyon_gregarius	30.8	30.8
1_canids_Hesperocyon_coloradensis	Hesperocyon_coloradensis	33.3	33.3
1_canids_Mesocyon_temnodon	Mesocyon_temnodon	20.43	20.43
1_canids_Mesocyon_brachyops	Mesocyon_brachyops	20.43	20.43
1_canids_Mesocyon_coryphaeus	Mesocyon_coryphaeus	20.43	20.43
1_canids_Cynodesmus_thooides	Cynodesmus_thooides	26.3	26.3
1_canids_Cynodesmus_martini	Cynodesmus_martini	20.43	20.43
1_canids_Sunkahetanka_geringensis	Sunkahetanka_geringensis	26.3	26.3
1_canids_Philotrox_condoni	Philotrox_condoni	26.3	26.3
1_canids_Enhydrocyon_pahinsintewakpa	Enhydrocyon_pahinsintewakpa	20.43	20.43
1_canids_Enhydrocyon_crassidens	Enhydrocyon_crassidens	20.43	20.43
1_canids_Enhydrocyon_stenocephalus	Enhydrocyon_stenocephalus	20.43	20.43
1_canids_Enhydrocyon_basilatus	Enhydrocyon_basilatus	20.43	20.43
1_canids_Osbornodon_renjiei	Osbornodon_renjiei	30.8	30.8
1_canids_Osbornodon_sesnoni	Osbornodon_sesnoni	30.8	30.8
1_canids_Osbornodon_iamonensis	Osbornodon_iamonensis	15.97	15.97
1_canids_Osbornodon_brachypus	Osbornodon_brachypus	15.97	15.97
1_canids_Osbornodon_fricki	Osbornodon_fricki	13.6	13.6
1_canids_Paraenhydrocyon_josephi	Paraenhydrocyon_josephi	20.43	20.43
1_canids_Paraenhydrocyon_robustus	Paraenhydrocyon_robustus	20.43	20.43
1_canids_Paraenhydrocyon_wallovianus	Paraenhydrocyon_wallovianus	20.43	20.43
1_canids_Caedocyon_tedfordi	Caedocyon_tedfordi	28	28
1_canids_Ectopocynus_antiquus	Ectopocynus_antiquus	20.43	20.43
1_canids_Ectopocynus_intermedius	Ectopocynus_intermedius	20.43	20.43
1_canids_Ectopocynus_simplicidens	Ectopocynus_simplicidens	15.97	15.97
1_canids_Archaeocyon_pavidus	Archaeocyon_pavidus	26.3	26.3
1_canids_Archaeocyon_leptodus	Archaeocyon_leptodus	26.3	26.3
1_canids_Archaeocyon_falkenbachi	Archaeocyon_falkenbachi	24	24
1_canids_Oxetocyon_cuspidatus	Oxetocyon_cuspidatus	30.8	30.8
1_canids_Otarocyon_macdonaldi	Otarocyon_macdonaldi	33.3	33.3
1_canids_Otarocyon_cooki	Otarocyon_cooki	26.3	26.3
1_canids_Rhizocyon_oreganensis	Rhizocyon_oreganensis	28	28
1_canids_Cynarctoides_lemur	Cynarctoides_lemur	20.43	20.43
1_canids_Cynarctoides_roii	Cynarctoides_roii	26.43	26.43
1_canids_Cynarctoides_harlowi	Cynarctoides_harlowi	20.43	20.43
1_canids_Cynarctoides_luskensis	Cynarctoides_luskensis	20.43	20.43
1_canids_Cynarctoides_gawanae	Cynarctoides_gawanae	15.97	15.97
1_canids_Cynarctoides_accridens	Cynarctoides_accridens	13.6	13.6
1_canids_Cynarctoides_emryi	Cynarctoides_emryi	15.97	15.97
1_canids_Phlaocyon_minor	Phlaocyon_minor	15.97	15.97
1_canids_Phlaocyon_latidens	Phlaocyon_latidens	20.43	20.43
1_canids_Phlaocyon_annectens	Phlaocyon_annectens	20.43	20.43
1_canids_Phlaocyon_achoros	Phlaocyon_achoros	20.43	20.43
1_canids_Phlaocyon_multicuspus	Phlaocyon_multicuspus	20.43	20.43
1_canids_Phlaocyon_marshlandensis	Phlaocyon_marshlandensis	15.97	15.97
1_canids_Phlaocyon_leucosteus	Phlaocyon_leucosteus	15.97	15.97
1_canids_Phlaocyon_yatkolai	Phlaocyon_yatkolai	15.97	15.97
1_canids_Phlaocyon_mariae	Phlaocyon_mariae	15.97	15.97
1_canids_Cormocyon_haydeni	Cormocyon_haydeni	20.43	20.43
1_canids_Cormocyon_copei	Cormocyon_copei	20.43	20.43
1_canids_Desmocyon_thomsoni	Desmocyon_thomsoni	15.97	15.97
1_canids_Desmocyon_matthewi	Desmocyon_matthewi	15.97	15.97
1_canids_Paracynarctus_kelloggi	Paracynarctus_kelloggi	13.6	13.6
1_canids_Paracynarctus_sinclari	Paracynarctus_sinclari	13.6	13.6
1_canids_Cynarctus_galushai	Cynarctus_galushai	13.6	13.6
1_canids_Cynarctus_marylandica	Cynarctus_marylandica	13.6	13.6
1_canids_Cynarctus_saxatilis	Cynarctus_saxatilis	13.6	13.6
1_canids_Cynarctus_voorhiesi	Cynarctus_voorhiesi	10.3	10.3
1_canids_Cynarctus_crucidens	Cynarctus_crucidens	10.3	10.3
1_canids_Metatomarctus_canavus	Metatomarctus_canavus	15.97	15.97
1_canids_Euoplocyon_spissidens	Euoplocyon_spissidens	18	18
1_canids_Euoplocyon_brachygnathus	Euoplocyon_brachygnathus	13.6	13.6
1_canids_Psalidocyon_marianae	Psalidocyon_marianae	13.6	13.6
1_canids_Microtomarctus_conferta	Microtomarctus_conferta	13.6	13.6
1_canids_Protomarctus_opatus	Protomarctus_opatus	16.3	16.3
1_canids_Tephrocyon_rurestris	Tephrocyon_rurestris	13.6	13.6
1_canids_Tomarctus_hippophaga	Tomarctus_hippophaga	13.6	13.6
1_canids_Tomarctus_brevirostris	Tomarctus_brevirostris	13.6	13.6
1_canids_Aelurodon_asthenostylus	Aelurodon_asthenostylus	13.6	13.6
1_canids_Aelurodon_mcgrewi	Aelurodon_mcgrewi	13.6	13.6
1_canids_Aelurodon_stirtoni	Aelurodon_stirtoni	13.6	13.6
1_canids_Aelurodon_ferox	Aelurodon_ferox	13.6	13.6
1_canids_Aelurodon_taxoides	Aelurodon_taxoides	10.3	10.3
1_canids_Paratomarctus_temerarius	Paratomarctus_temerarius	13.6	13.6
1_canids_Paratomarctus_euthos	Paratomarctus_euthos	10.3	10.3
1_canids_Carpocyon_compressus	Carpocyon_compressus	13.6	13.6
1_canids_Carpocyon_webbi	Carpocyon_webbi	10.3	10.3
1_canids_Carpocyon_robustus	Carpocyon_robustus	10.3	10.3
1_canids_Carpocyon_limosus	Carpocyon_limosus	4.9	4.9
1_canids_Protepicyon_raki	Protepicyon_raki	13.6	13.6
1_canids_Epicyon_aelurodontoides	Epicyon_aelurodontoides	6	6
1_canids_Epicyon_saevus	Epicyon_saevus	6	6
1_canids_Epicyon_haydeni	Epicyon_haydeni	5.332	5.332
1_canids_Borophagus_littoralis	Borophagus_littoralis	10.3	10.3
1_canids_Borophagus_pugnator	Borophagus_pugnator	5.332	5.332
1_canids_Borophagus_orc	Borophagus_orc	4.9	4.9
1_canids_Borophagus_parvus	Borophagus_parvus	4.9	4.9
1_canids_Borophagus_secundus	Borophagus_secundus	4.9	4.9
1_canids_Borophagus_hilli	Borophagus_hilli	3.6	3.6
1_canids_Borophagus_dudleyi	Borophagus_dudleyi	3.6	3.6
1_canids_Borophagus_diversidens	Borophagus_diversidens	1.8	1.8
1_canids_Leptocyon_mollis	Leptocyon_mollis	29	29
1_canids_Leptocyon_douglassi	Leptocyon_douglassi	28	28
1_canids_Leptocyon_vulpinus	Leptocyon_vulpinus	20.43	20.43
1_canids_Leptocyon_gregorii	Leptocyon_gregorii	23	23
1_canids_Leptocyon_leidyi	Leptocyon_leidyi	13.6	13.6
1_canids_Leptocyon_vafer	Leptocyon_vafer	10.3	10.3
1_canids_Leptocyon_matthewi	Leptocyon_matthewi	10.3	10.3
1_canids_Vulpes_stenognathus	Vulpes_stenognathus	4.9	4.9
1_canids_Metalopex_macconnelli	Metalopex_macconnelli	8	8
1_canids_Metalopex_merriami	Metalopex_merriami	8	8
1_canids_Urocyon_webbi	Urocyon_webbi	6	6
1_canids_Urocyon_galushi	Urocyon_galushi	1.5	1.5
1_canids_Urocyon_citronus	Urocyon_citronus	1.8	1.8
1_canids_Urocyon_minicephalus	Urocyon_minicephalus	0.24	0.24
1_canids_Cerdocyon_texanus	Cerdocyon_texanus	4.9	4.9
1_canids_Eucyon_davisi	Eucyon_davisi	4.9	4.9
1_canids_Canis_ferox	Canis_ferox	3.5	3.5
1_canids_Canis_thooides	Canis_thooides	1.8	1.8
1_canids_Canis_lepophagus	Canis_lepophagus	1.8	1.8
1_canids_Canis_arnensis	Canis_arnensis	1.5	1.5
1_canids_Canis_etruscus	Canis_etruscus	1.7	1.7
1_canids_Canis_falconeri	Canis_falconeri	1.5	1.5
1_canids_Canis_antonii	Canis_antonii	1.2	1.2
1_canids_Canis_edwardii	Canis_edwardii	0.3	0.3
1_canids_Canis_mosbachensis	Canis_mosbachensis	0.5	0.5
1_canids_Canis_palmidens	Canis_palmidens	1.5	1.5
1_canids_Canis_variabilis	Canis_variabilis	0.5	0.5
1_canids_Canis_chihliensis	Canis_chihliensis	1.2	1.2
1_canids_Canis_armbrusteri	Canis_armbrusteri	0.3	0.3
1_canids_Canis_dirus	Canis_dirus	0.012	0.012
1_canids_Xenocyon_texanus	Xenocyon_texanus	0.24	0.24
