File name	Species name	Lower	Upper
1_canids_ranges_3_subset_Aelurodon_asthenostylus	Aelurodon asthenostylus	12	15.9
1_canids_ranges_3_subset_Aelurodon_ferox	Aelurodon ferox	9	14.8
1_canids_ranges_3_subset_Aelurodon_mcgrewi	Aelurodon mcgrewi	12	14.8
1_canids_ranges_3_subset_Aelurodon_stirtoni	Aelurodon stirtoni	12	14.8
1_canids_ranges_3_subset_Aelurodon_taxoides	Aelurodon taxoides	9	14.8
1_canids_ranges_3_subset_Archaeocyon_falkenbachi	Archaeocyon falkenbachi	17.5	24
1_canids_ranges_3_subset_Archaeocyon_leptodus	Archaeocyon leptodus	17.5	30
1_canids_ranges_3_subset_Archaeocyon_pavidus	Archaeocyon pavidus	19	30
1_canids_ranges_3_subset_Borophagus_diversidens	Borophagus diversidens	1.9	4.9
1_canids_ranges_3_subset_Borophagus_dudleyi	Borophagus dudleyi	4.9	7
1_canids_ranges_3_subset_Borophagus_hilli	Borophagus hilli	4.1	7
1_canids_ranges_3_subset_Borophagus_littoralis	Borophagus littoralis	7	12
1_canids_ranges_3_subset_Borophagus_orc	Borophagus orc	7	9
1_canids_ranges_3_subset_Borophagus_parvus	Borophagus parvus	4.9	7
1_canids_ranges_3_subset_Borophagus_pugnator	Borophagus pugnator	4.9	9
1_canids_ranges_3_subset_Borophagus_secundus	Borophagus secundus	4.9	9
1_canids_ranges_3_subset_Caedocyon_tedfordi	Caedocyon tedfordi	28	30
1_canids_ranges_3_subset_Canis_armbrusteri	Canis armbrusteri	0.15	1.9
1_canids_ranges_3_subset_Canis_dirus	Canis dirus	0.011	0.85
1_canids_ranges_3_subset_Canis_edwardii	Canis edwardii	0.15	4.9
1_canids_ranges_3_subset_Canis_falconeri	Canis falconeri	0.85	1.9
1_canids_ranges_3_subset_Canis_ferox	Canis ferox	1.9	7
1_canids_ranges_3_subset_Canis_lepophagus	Canis lepophagus	1.9	4.9
1_canids_ranges_3_subset_Canis_thooides	Canis thooides	1.9	4.1
1_canids_ranges_3_subset_Carpocyon_compressus	Carpocyon compressus	12	14.8
1_canids_ranges_3_subset_Carpocyon_limosus	Carpocyon limosus	4.9	9
1_canids_ranges_3_subset_Carpocyon_robustus	Carpocyon robustus	9	12
1_canids_ranges_3_subset_Carpocyon_webbi	Carpocyon webbi	9	14.8
