Name	Sequence
S_tchadensis	0-----------{01}--1--110------1---------10-00--0--11011--------20-1---------010----0-3---1-1----1--------0--0---------------------0---10----{01}-0-------0----0----1---------------------0------1--------------{12}-0------------------------01-0-------0----0---------03-1--------1-------------0---1-1--1-------------1-------------------------------0-------000--01------------------------------
Ar_ramidus	---------------------------------------------------------------------------------------------------------1---------------------0-----------0-------10--------0---------------1-0---0-------------------------------------------------1---------0---01---------12-11-----------1--1-0----0---1-0--2-------------0--------000--------------------0---0-----1--0-------------------------------
A_anamensis	-------------------------------------------------------0-------0--10-0---01-1-----1----------------------1---------------------0-----------0-------00------------------------------0-----------------------------------------------------------1---01---------12-11-------1---2--1-0----0---1-1--2-------------0---------11--220-------00------1---0---0-1--01------------------------------
A_afarensis	0020-1--01-0000-00{01}00---0-0-0--0--0-10-000000-0--00-1--010-012-00-10-002-01010{01}-012{01}--10-01-00100010001-0100---02----0-21-00--00---1010--100110----01---110-00--001------1-11001---0---000{12}01-0----00-1--1100-----1----------1-----201-21--1010100-0110021110013011000-000200-201{12}110110{12}---1-0--10001021110000011210001111002200------20------{01}-1-0-11001--00-----11---------------------1-
A_africanus	000202---00001010{01}{01}0{01}020{01}0{01}1{01}0010010101{01}110-0-1120-0{01}000{01}1-{01}12-10010110--{01}1010020{01}202210{01}01011000110001100002101100021021-000-1{01}-01{01}{01}1001111010----01011010-001000{01}11-2110-000011-00101{01}101200{01}00201010102122210211111-0010-10000--101011-10000100-011{01}111110013011001100{01}210-21221201102---{01}01--30101042052000020110001111002200------20------{01}-2-{01}-0100{01}--10-----11---------------------1-
A_garhi	0----------00----0000------10-----0-10--00-------------0---012-00--0-0-2-010------2---------0---------1-----------------------------------------------------------------------------------1---0----1-------------------------------------------1----1-001-----1--110-------10-2--2------2--------1----------------------------------------------------------0-------------------------------
K_platyops	0-----------0-----101----------------0--10--0--1-0-----0----2--11--0-1---0--------3---0-----00--------1------------------------{01}-----------0-------00------------------------1-0----------{01}----------------1-----------------------00----------1-----1--------{01}--1--------------------------------------------------------------------------------------------------------------------------
P_robustus	010--0--0--00-0201112------11-----0-101101110-11111110-123-112-21021-010-1{01}1110-0130121011011000101001011000-----------2-------{01}---02-1--211--1----11---0---11--01-----------110---1---01023--0----1--0--2121--1-------------------202122-2-11122--0{12}01101220-131211002--1221-203212-1--1---113--401-20421110--020210102112112-10------00------1-2-1-1{12}100--10-----11---------------------1-
P_boisei	0100-0--01-001{01}2011120001001100-0000100{01}0{01}110-1110{01}11{01}-123-{01}12-21021-{01}10-00{01}110-01300210{01}11110000020110010111110211020120-010-11-01{01}{12}-1-1211-11----11000100-11101201011001110011--0{01}101{01}1123010002011000121{01}1-1121-100-0010-00011--212122-2111122--120110-110-131210--2--1221-2-3212-1--2---113--400-21131300--0103-01-2112102310------00------1-3-1-11100--10-----22---------------------1-
P_aethiopicus	0000----01-00-1101012------10-----0--0110{01}110-11111111-123-112-21021-000-0{01}1--0--130020--11-1000002000001000-------------------0---{01}1-0-1211--0----01---1---11--00-----------------0---00121--0----0--1--2101--1-------------------011-21-01-0-2----1-11------{01}--1---------2--2--2-2----2---11---4------------------------2----10-------0------1---1--1100--10------------------------------
