File name	Species name	Lower	Upper
8_Anthropornis_grandis	Anthropornis grandis	34	52.5
8_Anthropornis_nordenskjoeldi	Anthropornis nordenskjoeldi	34	52.5
8_Archaeospheniscus_lopdelli	Archaeospheniscus lopdelli	26	30
8_Archaeospheniscus_lowei	Archaeospheniscus lowei	26	30
8_Burnside_Palaeudyptes	Burnside Palaeudyptes	36	38.4
8_Delphinornis_arctowskii	Delphinornis arctowskii	34	41
8_Delphinornis_gracilis	Delphinornis gracilis	34	41
8_Delphinornis_larseni	Delphinornis larseni	34	52.5
8_Delphinornis_wimani	Delphinornis wimani	34	52.5
8_Duntroonornis_parvus	Duntroonornis parvus	21.7	30
8_Eretiscus_tonnii	Eretiscus tonnii	16	21
8_Icadyptes_salasi	Icadyptes salasi	35.7	37.2
8_Inkayacu_paracasensis	Inkayacu paracasensis	35.7	37.2
8_Kairuku_grebneffi	Kairuku grebneffi	26	30
8_Kairuku_waitaki	Kairuku waitaki	26	30
8_Madrynornis_mirandus	Madrynornis mirandus	9.7	10.3
8_Marambiornis_exilis	Marambiornis exilis	34	41
8_Marplesornis_novaezealandiae	Marplesornis novaezealandiae	5.33	15.97
8_Mesetaornis_polaris	Mesetaornis polaris	34	41
8_Pachydyptes_ponderosus	Pachydyptes ponderosus	34.5	36
8_Palaeeudyptes_antarcticus	Palaeeudyptes antarcticus	30.1	34.5
8_Palaeeudyptes_gunnari	Palaeeudyptes gunnari	34	54
8_Palaeeudyptes_klekowskii	Palaeeudyptes klekowskii	34	52.5
8_Palaeospheniscus_bergi	Palaeospheniscus bergi	9.7	21
8_Palaeospheniscus_biloculata	Palaeospheniscus biloculata	16	21
8_Palaeospheniscus_patagonicus	Palaeospheniscus patagonicus	16	21
8_Paraptenodytes_antarcticus	Paraptenodytes antarcticus	21	23
8_Perudyptes_devriesi	Perudyptes devriesi	38	42
8_Platydyptes_marplesi	Platydyptes marplesi	23	30
8_Platydyptes_novaezealandiae	Platydyptes novaezealandiae	23	26
8_Pygoscelis_grandis	Pygoscelis grandis	2.5	8.6
8_Spheniscus_megaramphus	Spheniscus megaramphus	6.3	10
8_Spheniscus_muizoni	Spheniscus muizoni	9	9.2
8_Spheniscus_urbinai	Spheniscus urbinai	5.7	9.63
8_Waimanu_manneringi	Waimanu manneringi	60.5	61.6
8_Waimanu_tuatahi	Waimanu tuatahi	56	60.5
