Name	Sequence
Anthropornis_grandis	------------------------------------------------------------------------------------------------------------------------------------------------1100--1-020210------1----------------------------------11--1001021--------------------------------0--
Anthropornis_nordenskjoeldi	------------------------------------------------------------------------------------------------------------------------------------------------------------------------0------------------------------1---10010210-------------------------------0--
Archaeospheniscus_lopdelli	----------------------------------------------------------------------------0--------------------------------------------2-------------------00-1------------------1-02-10113--------------------------21--0011022-------------------10-----------00-
Archaeospheniscus_lowei	----------------------------------------------------------------------------------------------------------00----0------------------------1---00-1100-010-20211---111102110113-------------------12----------------------------------------00---------
Burnside_Palaeudyptes	------------------------------------------------------------------------------------------------------------------------------------------------11001010020210011011002-002-10-111--1-------------0--102----02--21---------------------------2-------
Delphinornis_arctowskii	-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------21-10011001--------------------------------0--
Delphinornis_gracilis	-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------110100110{01}1--------------------------------0--
Delphinornis_larseni	-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------11-10011001--------------------------------0--
Delphinornis_wimani	-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------21-1001--{01}------------------------------------
Duntroonornis_parvus	-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------21--001---2--------------------------------0--
Eretiscus_tonnii	3-----------------------------------------------------------------------------------------------------------------------------------------------11111-2-0212111201-0002-100----------------------------1101012---1---------------------------1-------
Icadyptes_salasi	---------------------------------------------------------------------------0-00-012-----0-002--01--001020001-0-00001------------------11--0-----110-101--20210120011002-00211011110110000-------------------------------------------1-----0-1-0-0----
Inkayacu_paracasensis	0--------------------1101--------------------------------------------------00000012---1-0-0-2---20-000020000-0-00001001-120----------1111100000-1100101002021001101100200021--1-110-100---------1201-1-210-002--210-----------------------0-------0--
Kairuku_grebneffi	-------------------------------------------------------------------------------------------------------------------------2--------10--11-10--0011100101-0-0210-20011002-002120-101111000-0---1--120111021-1002--21-------------------0-01-011-00-110-
Kairuku_waitaki	---------------------------------------------------------------------------00-----------0--------------20----------------2-----1--1-------0--0011100101--202100-0----------1--11-1--1---00------1--1---21-1002--21------------------100----11-0-0-10-
Madrynornis_mirandus	-----------------------------------------------------------------------------0-0-020--1---0--0-2---{12}--121---10000-112{12}0--2------1-1------1-0011011111--0-2121-12-1-000201--14----11-10-------0--110-11121-10{12}10121------------------1--10-1---1---0--
Marambiornis_exilis	-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------11-00011011--------------------------------0--
Marplesornis_novaezealandiae	------------------------------------------------------------------------------01-1210-------201110----120---2-0---01000--2------1010-01321-0-11-111--1---212--12-10-00--11014-1-----------------------------------------------------------10----1----
Mesetaornis_polaris	-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------11-00011011--------------------------------0--
Pachydyptes_ponderosus	-----------------------------------------------------------------------------------------------------------------------------------------10-000-110010100202101200{01}10021002----1-10-10-------------------------------------------------------2-------
Palaeeudyptes_antarcticus	-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------2100002--21--------------------------------0--
Palaeeudyptes_gunnari	------------------------------------------------------------------------------------------------------------------------------------------------1100101002021001101-10-1002----------------------------21--002--210--------------------------2----0--
Palaeeudyptes_klekowskii	------------------------------------------------------------------------------------------------------------------------------------------------1100-01-020210---01-102-002----------------------------2100002--210--------------------------2----00-
Palaeospheniscus_bergi	-------------------------------------------------------------------------------------------------------------------------2-31-------------------11111{01}2002121112010000201-01---1011110---0-0-----------21-1012--21--------------------1--------------
Palaeospheniscus_biloculata	-------------------------------------------------------------------------------------------------------------------------2--------------21-0-1-0111-1{01}2--2121112-100002-1------1011-10-------11-----11-21--0-2--21--------------------1--------------
Palaeospheniscus_patagonicus	-------------------------------------------------------------------------------------------1--------------------0-----------------------2----11-11111{01}200212111201000020100140-1011110----------110-1112101012--210-------------------------011--000-
Paraptenodytes_antarcticus	------------------------------------------------------------------------------10012-0-------2010------020---2-0---01001----------------2-10-0---110010100202111201100020101---------------------12-111121--001102-0-----------------1-----0-12---000-
Perudyptes_devriesi	----------------------------------------------------------------------------0-0-0120--------20-------1----1--0-0-0------------------------------11000010-2011001001-112--------1-100-0---010---------1-{12}---00---21---------------------------------0-
Platydyptes_marplesi	--------------------------------------------------------------------------------------------------------------------------------1-00-01211-0010-11011020-2021-12-1--002-101131--011110--------------------------------------------------1------------
Platydyptes_novaezealandiae	------------------------------------------------------------------------------------------------------------------------------------------------11-1-020-2-2----11--00--101131---------------------------------------------------------------21------
Pygoscelis_grandis	----------------------------------------------------------------------------------------------------------------------------0---------1---------1--------21---------0-20---1--1----------0---0--------1210102110210-----------------------------1-00-
Spheniscus_megaramphus	---------------------------------------------------------------------------210-10120----0-102-1------1---0-00000001112-------------------------------------------------------------------------------------------------------------------------------
Spheniscus_muizoni	-------------------------------------------------------------------------------------------------------------------------20----------------0-11-11111-2012121-12-1--00211-014--1-11-10----------------121-103-01210-------------------------------0--
Spheniscus_urbinai	---------------------------------------------------------------------------210--012-----0-10---------1---0-000-000-------205--------1-13-1-0011-1111112002121212010000211101--11011110---0---1--1----1-210103101210---------------------------1---0--
Waimanu_manneringi	--------------------------------------------------------------------------------------------------------------------------13-------------------------------------------------------------01-11-----11-2110000101000-------------------0----------001-
Waimanu_tuatahi	--------------------------------------------------------------------------------012----2-0---------0------0----00--------11----------011000--0--11010011-2011-010010111--02050-0100011-----------------110-00101000-----------------0-0---0-00----01-
